"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","test_users_status_codes[15-404]","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","9","GET /comments фильтруется по postId","tests","2026-09-02","passed","2026-09-02","TestPosts","test_posts","",""
"","36","test_get_nonexistent_user_returns_404","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","13","test_create_post_returns_201","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","9","test_users_status_codes[5-200]","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","130","Работа с нескольким GET сразу. Gather","tests","2026-09-02","passed","2026-09-02","TestGetsAsync","test_async","",""
"","152","GET /users/1 через httpx","tests","2026-09-02","passed","2026-09-02","TestGetsAsync","test_async","",""
"","8","GET /users/1 возвращает статус 200","tests","2026-09-02","passed","2026-09-02","TestUsers","test_users","",""
"","7","test_user_matches_pydantic_model","tests","2026-09-02","passed","2026-09-02","","test_models","",""
"","7","test_users_status_codes[1-200]","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","8","Список пользователей содержит 10 записей","tests","2026-09-02","passed","2026-09-02","TestUsers","test_users","",""
"","9","test_filter_posts_by_user","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","10","test_post_matches_schema","tests","2026-09-02","passed","2026-09-02","","test_schema","",""
"","8","test_users_status_codes[12-404]","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","9","test_user_matches_schema","tests","2026-09-02","passed","2026-09-02","","test_schema","",""
"","7","Ответ приходит в формате JSON (Content-Type)","tests","2026-09-02","passed","2026-09-02","TestPosts","test_posts","",""
"","8","test_user_username_matches_data[Antonette]","tests","2026-09-02","passed","2026-09-02","","test_data_driven","",""
"","8","test_user_username_matches_data[Samantha]","tests","2026-09-02","passed","2026-09-02","","test_data_driven","",""
"","10","test_users_status_codes[10-200]","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","9","test_users_status_codes[0-404]","tests","2026-09-02","passed","2026-09-02","","test_check_status_code","",""
"","7","test_user_username_matches_data[Bret]","tests","2026-09-02","passed","2026-09-02","","test_data_driven","",""
"","7","test_post_matches_pydantic_model","tests","2026-09-02","passed","2026-09-02","","test_models","",""
"","6","GET /posts/1 возвращает пост с нужными полями","tests","2026-09-02","passed","2026-09-02","TestPosts","test_posts","",""
"","7","Пользователь содержит ожидаемые поля","tests","2026-09-02","passed","2026-09-02","TestUsers","test_users","",""
